6001 Thales                          232.281420  2.8559179  0.05123742 177.619304 129.830828   3.000030  12.6
6002 1988 RO                         287.496727  5.2017569  0.09281456 157.290804 209.840095  15.572181  10.2
6003 1988 VO1                        338.107064  2.3440614  0.11984804  71.781017 226.351131   5.710289  12.9
6004 1988 XY1                        247.643653  2.2730408  0.04990118 170.768036 307.928569   2.831980  13.8
6005 1989 BD                          42.498727  2.7012385  0.15006637 107.768671  25.705447   7.635278  12.3
6006 Anaximandros                    181.900909  2.8380703  0.07717753   9.398137 339.700282   1.421213  12.3
6007 1990 BE2                        106.172313  2.4073530  0.19496536 105.962606   4.116825   4.380405  13.8
6008 1990 BF2                        209.126580  2.2182111  0.03941977  40.464703  78.667475   4.155743  13.5
6009 1990 FQ1                        347.983758  2.4380310  0.15004849  78.821396 213.419299  22.688177  12.3
6010 Lyzenga                         292.016305  2.5721012  0.18010935 138.039452 229.045163  12.752902  12.9
6011 Tozzi                           288.810265  2.7188194  0.14859901 115.288279 196.244450   2.491486  13.0
6012 1990 SK4                        300.675020  2.6355640  0.34013709 251.587227  62.920950  18.281413  13.2
6013 1991 OZ                          40.426330  2.3721468  0.14913779 330.373045 254.972619   4.208453  13.6
6014 1991 PO10                       335.011880  2.3504497  0.14591531 130.005101 199.818753   6.415568  13.2
6015 1991 PR10                       338.155109  2.4375655  0.14068423  90.558479 190.406698   7.298720  13.5
6016 1991 PA11                       328.186015  2.3324441  0.21420509 163.483841 189.555086   5.885041  13.3
6017 1991 PY11                        70.075710  2.2995120  0.13578858  25.202265 214.958323   4.698978  13.3
6018 1991 PS16                       101.254620  2.2734316  0.12682511  92.613974 138.849090   6.146655  13.2
6019 1991 RO6                        321.828930  3.0068751  0.03958762 194.407572 290.290758   8.586281  11.3
6020 Miyamoto                         34.604062  2.2968625  0.09573679 290.501128  19.298965   5.015632  13.7
6021 1991 TM                         355.210149  2.4155572  0.13200401 150.368982 140.584617   6.809449  13.2
6022 Jyuro                           218.664005  2.2357305  0.05694920   2.656342  74.599433   4.625636  13.9
6023 Tsuyashima                      192.307358  2.3567624  0.14699981 292.529623 124.779739   7.092265  12.9
6024 1992 UT4                        202.786618  2.3849087  0.08714562 356.177795  41.246343   9.171882  12.4
6025 1992 YA3                         40.843848  3.0242130  0.06385203 163.158907 280.562608   9.003506  11.2
6026 Xenophanes                      349.266644  2.8390304  0.06651246 358.362748 203.495920   3.206648  12.6
6027 1993 SS2                        242.359376  2.2026906  0.15553255 168.758269 106.663172   5.645625  12.9
6028 1994 ER1                        326.625779  2.5711556  0.17399634 307.537425 301.474494   6.724949  12.4
6029 Edithrand                       291.996773  1.9270241  0.07582873  43.166060 106.895592  24.268476  14.1
6030 1981 EG36                       186.587717  3.1568789  0.04989932 203.303060 172.618466   5.293244  12.5
6031 Ryokan                          324.604271  3.0156724  0.02891475 130.600150  84.645837  10.881693  11.6
6032 Nobel                           345.865856  2.4184475  0.26489191 131.452754 188.398110   7.527735  13.9
6033 1984 SQ4                        226.006004  3.1750010  0.12745991  71.501833 217.150837  16.275566  12.2
6034 1987 JA                         163.973624  2.3369022  0.17069822  69.606659  29.475558   3.531964  14.4
6035 1987 OR                          76.296912  2.3151562  0.21846121  82.271507 171.769082  23.975038  13.6
6036 Weinberg                        262.214715  2.7565251  0.19892798 150.953153 189.782424  13.860552  12.2
6037 1988 EG                         125.752822  1.2702073  0.49924578 241.681194 182.828944   3.493586  18.7
6038 1989 EQ                         335.342432  3.0554287  0.18324750 121.463470 314.281297   8.262408  12.2
6039 Parmenides                      138.796982  3.4092324  0.06604524 170.083351 186.480314  13.152008  11.3
6040 1990 DK3                         65.693022  2.4035448  0.14695526  18.946771 164.896859   2.427826  14.5
6041 1990 KL                          15.533437  2.4435524  0.32878366 102.437283 199.735381   9.880298  14.2
6042 1990 WW2                        174.805326  3.0526091  0.45255018 286.281749  88.877989  15.856635  12.3
6043 1991 RK2                        302.905727  2.3652426  0.14258160 216.763125 146.245257   6.890144  13.5
6044 1991 RW4                        215.237719  2.7757599  0.15402615 307.364775   1.643811   8.885048  14.0
6045 1991 RG9                         83.114592  2.2163676  0.13886599  86.068132 202.814812   3.089902  13.3
6046 1991 RF14                        34.046085  2.3001646  0.14655194  93.234685 200.801681   6.930538  13.8
6047 1991 TB1                        247.270607  1.4538724  0.35196368 103.617532   6.229918  23.470886  17.0
6048 1991 UC1                        114.655202  2.5979455  0.01539598 313.492445 187.737095   7.089289  12.6
6049 1991 VP                          11.149463  2.3921570  0.13558252 136.270906 175.068233   2.440446  13.2
6050 1992 AE                          19.255712  2.2023406  0.43676914 284.539001  88.537097   6.400629  15.4
6051 Anaximenes                      296.441238  3.1691333  0.15864204 111.379971 134.193454  18.105540  12.1
6052 Junichi                          95.444987  3.2504321  0.03897896 279.302370 169.999820  21.732742  11.0
6053 1993 BW3                        314.803776  2.1464844  0.52928297  74.552639 318.670815  21.603804  15.1
6054 Ghiberti                         72.365348  2.4107596  0.10432779  54.549903 262.309382   2.168758  14.2
6055 Brunelleschi                    242.226806  2.1787111  0.12760550 358.129600 284.433495   1.759213  14.9
6056 Donatello                       359.634241  2.7108939  0.22523185  10.068673 224.484453   3.178330  13.2
6057 Robbia                          176.095773  3.3199681  0.10412201 181.391358 171.173362  17.870939  11.1
6058 1978 VL5                         49.788885  2.2294494  0.17056834  53.101818 265.946491   4.597105  13.5
6059 1979 TA                         340.984828  2.4355749  0.21819031  51.858589 302.627517   2.357549  14.5
6060 1980 DX                         341.371343  2.6141292  0.08986045 144.910887 156.038060   9.892408  13.0
6061 1981 SQ2                        320.364358  2.2755182  0.16055118 322.054247  20.912281   3.996216  13.2
6062 Vespa                           206.340151  3.2076377  0.16560963 156.226016 116.961708   2.796723  12.3
6063 Jason                           112.620078  2.2168079  0.76410864 336.568275 169.904219   4.850857  15.3
6064 1987 HE1                        111.388460  2.2076665  0.15964361 106.054901 158.990948   5.364011  13.7
6065 1987 OC                          11.963307  2.3422205  0.20900035  47.632493 271.885799  23.857272  13.0
6066 Hendricks                       351.153301  2.3742189  0.28203199 224.176025 126.300834   6.234063  14.0
6067 1990 QR11                       170.968280  3.1610836  0.06012092  66.734183 233.649214  10.437502  11.7
6068 Brandenburg                     110.271385  3.0381798  0.07913617 223.368238 219.102310   9.040242  12.5
6069 Cevolani                        192.692522  2.2476880  0.04080148 329.950247 192.696982   4.029462  14.1
6070 Rheinland                       333.660981  2.3882202  0.21020192 292.438660  84.129889   3.132802  13.6
